player_id,level,clan,ammo,lithium,neon,karma,success
34897,1,Ork,17,6,11,62,0
35194,19,Ork,77,16,3,58,1
34071,4,Human,4,1,10,66,0
33259,1,Ork,1,18,17,69,0
33564,1,Elf,10,17,17,67,0
35200,9,Ork,9,0,9,71,1
35089,11,Human,87,13,5,44,1
34982,2,Human,7,0,10,55,0
32802,2,Ork,6,6,11,72,0
33170,2,Ork,22,1,9,63,1
32228,16,Ork,8,5,8,54,1
31873,7,Ork,8,0,9,77,0
34879,18,Ork,75,13,5,49,1
34556,4,Ork,10,11,13,92,0
34407,1,Ork,5,6,11,71,0
34848,6,Elf,8,4,10,67,0
33313,6,Ork,9,3,10,88,0
33139,11,Elf,63,8,7,47,1
34751,9,Ork,4,1,9,69,1
33140,2,Elf,8,2,10,61,0
31295,3,Elf,1,12,14,82,0
33447,6,Ork,13,1,9,54,1
32547,19,Elf,27,13,5,53,1
34555,10,Elf,20,1,9,60,1
31329,1,Human,5,5,11,92,0
33643,7,Ork,16,3,10,61,0
32349,7,Elf,8,0,9,74,1
31946,1,Elf,1,13,14,91,0
34666,6,Human,30,8,7,46,1
34539,3,Ork,1,11,13,70,0
31597,10,Ork,11,0,9,59,0
33679,4,Ork,16,0,9,57,1
32474,8,Ork,6,1,9,75,1
33504,9,Elf,44,9,7,61,1
33843,2,Elf,9,3,10,66,0
31826,7,Ork,33,1,9,52,1
34510,4,Human,6,10,13,74,0
32443,4,Ork,5,16,16,81,0
32909,1,Ork,12,16,16,73,0
32974,3,Ork,4,0,10,57,0
33570,7,Ork,23,0,9,76,1
33317,4,Human,20,0,10,65,0
35043,20,Human,55,16,3,53,1
32650,4,Human,54,2,9,54,1
35100,4,Human,18,0,10,63,0
32739,5,Elf,13,13,14,64,0
34062,2,Ork,13,9,12,71,0
34159,4,Elf,6,1,10,67,0
35115,15,Human,6,5,8,60,1
32195,24,Ork,25,19,1,42,1
34500,6,Human,37,8,7,56,1
31551,6,Ork,6,1,10,60,0
32411,2,Elf,28,0,9,62,1
33571,2,Elf,3,0,10,66,0
35183,29,Ork,121,19,1,42,1
32076,13,Ork,59,5,8,63,1
33944,8,Human,29,0,10,64,0
34465,9,Ork,6,0,10,58,0
31555,15,Human,18,13,5,45,1
32811,7,Ork,5,0,10,86,0
31360,5,Ork,12,1,9,62,1
34833,6,Elf,80,16,3,48,1
33276,3,Human,6,0,10,59,0
32292,1,Elf,7,11,13,71,0
32348,7,Human,7,0,10,57,0
31877,4,Human,13,0,10,61,0
32613,7,Human,54,5,8,48,1
32405,14,Ork,26,5,8,50,1
34255,2,Elf,33,0,9,60,1
33188,4,Elf,10,6,11,85,0
31575,16,Elf,10,10,6,51,1
31535,11,Ork,27,0,9,68,1
34499,5,Ork,1,6,11,72,0
34207,3,Human,7,3,9,50,1
32686,1,Elf,20,0,10,67,0
34560,2,Human,2,0,10,86,0
33302,4,Ork,7,1,10,60,0
33059,4,Ork,54,2,9,52,1
34490,2,Ork,5,18,17,69,0
31679,11,Human,3,0,9,64,0
31965,6,Ork,14,5,11,76,0
33897,7,Ork,45,16,3,48,1
34091,3,Ork,8,7,8,65,1
32855,10,Ork,31,19,1,50,1
34640,4,Human,18,6,8,67,1
32142,1,Ork,3,9,12,70,0
33363,4,Elf,6,0,9,61,0
32546,10,Elf,81,10,6,45,1
34074,8,Elf,12,8,7,48,1
32146,9,Elf,95,18,2,62,1
32702,5,Ork,2,0,10,55,0
32107,2,Elf,23,1,10,68,0
34019,2,Elf,6,17,17,73,0
34446,1,Human,10,19,18,78,0
32067,11,Elf,62,13,5,49,1
32870,7,Human,16,0,9,53,0
34162,4,Ork,49,2,9,62,1
35107,4,Elf,22,1,10,74,0
32583,2,Ork,14,9,12,77,0
32329,28,Human,39,19,1,51,1
32034,2,Ork,16,7,11,70,0
32056,5,Human,3,9,12,63,0
32396,1,Elf,6,2,10,62,0
33627,2,Human,4,8,12,80,0
32447,4,Elf,5,13,14,64,0
34023,20,Human,15,9,7,58,1
34715,1,Human,15,0,10,76,0
33715,4,Elf,3,0,10,75,0
34237,11,Elf,27,0,9,59,0
31950,3,Elf,29,0,10,57,0
33969,14,Elf,37,9,7,67,1
31264,7,Human,16,1,9,54,1
31415,1,Ork,4,5,11,68,0
33055,8,Elf,62,4,9,67,1
34867,4,Ork,11,3,10,71,0
32687,7,Ork,21,8,7,46,1
31630,3,Ork,8,0,10,61,0
35090,3,Ork,9,16,16,82,0
33617,5,Human,1,6,11,66,0
33341,5,Ork,10,9,12,64,0
33147,8,Elf,170,17,2,61,1
31990,5,Ork,8,1,10,65,0
34554,9,Human,18,0,9,68,1
32453,14,Human,52,5,8,68,1
33005,4,Human,36,3,9,50,1
31388,12,Human,40,13,5,50,1
34674,7,Human,22,1,9,56,1
33177,4,Human,21,3,10,71,0
34971,3,Human,7,2,10,75,0
34087,17,Ork,132,16,3,49,1
32777,5,Human,4,11,13,75,0
34179,1,Human,8,3,10,71,0
34738,1,Ork,7,9,12,62,0
33089,16,Elf,67,14,4,47,1
34675,2,Human,2,2,10,65,0
33775,18,Human,89,19,1,62,1
32468,6,Elf,2,0,10,69,0
32027,6,Human,6,2,10,59,0
31799,6,Ork,7,5,11,62,0
35078,14,Elf,14,4,9,50,1
34602,12,Elf,40,0,9,62,1
31409,8,Ork,45,16,3,53,1
34423,2,Ork,11,0,10,64,0
31741,4,Human,14,3,9,56,1
34788,4,Elf,11,13,14,79,0
34463,5,Elf,8,5,11,92,0
32921,7,Elf,11,3,10,68,0
33106,4,Human,4,0,10,68,0
31396,2,Ork,11,11,13,81,0
31696,14,Ork,68,6,8,62,1
33935,18,Elf,13,6,8,66,1
34787,15,Ork,102,11,6,56,1
35013,12,Elf,22,0,9,64,1
34671,26,Human,32,13,5,58,1
34402,4,Ork,2,3,10,70,0
33915,7,Elf,10,3,10,84,0
32335,1,Elf,2,18,17,67,0
34936,4,Elf,26,0,10,62,0
